Italian word,English translation
rivelazione,disclosure / revelation
ricorderai,to commemorate / to mention / record / to remember / recall / recollect
interi,complete / full / total / intact / whole / entire
ossessionata,to bother / trouble / to obsess
cerebrali,cerebral / brain
sconvolgente,upsetting / shocking
costata,A large chop of meat / especially beef / T-bone steak
tradisce,to betray / to reveal
scivolare,To slip / slide or skid
canaglia,scoundrel / rogue
promettente,promising
venissero,to come
tango,tango
stressato,stressed / stressed out
amatoriale,amateur / home-made / collector
strambo,strange / queer / odd
esecutivo,executive / executive
rami,copper
distanze,distance / interval
acquisti,purchase / acquisition
atteso,waited / expected
artiglieria,artillery / gunnery
preti,priest / clergyman / minister / pastor
fissata,A woman with a fixation or obsession
pugile,boxer / pugilist
antiche,ancient (f. pl.)
pompe,pomp / pump / blow job
positivi,positive
lavagna,chalkboard / blackboard
mettetelo,puts
suicidi,suicide
fermerà,to close / to stop
discussioni,argument / discussion / quarrel
davano,to give
seguaci,to follow or pursue
furbi,cunning / sly / wily / crafty
aspirina,aspirin
invano,in vain / uselessly
piscio,piss
scoprirà,to discover / find out / to sight; to spot / to uncover
pakistan,Pakistan
covo,den / ken / lair
lieve,light / light / delicate / gentle / mild
sacerdote,priest / clergyman
picchia,to beat / to knock / to thump / to tap / to bang / to insist
rivela,bank / shore
vassoio,tray / platter
attico,Attic / attic / loft / penthouse
lasciassi,to leave / let
modelle,model / fashion model / runway model / mannequin
parassita,parasitic / parasite
continuerai,to carry on / to continue
muscolo,muscle / mussel
inseguimento,pursuit / pursuit / chase / tracking
tornava,to return
interpretato,to interpret [all senses] / to perform
aiutati,to help / assist
rimpianto,sadly missed / regret
minimamente,in the least / at all
ingredienti,ingredient
avversari,rival / opposing / foe / opponent / antagonist / rival / adversary / foe
fatela,you (pl.) do / make
spa,society / association / club / circle
diffuso,diffuse / widespread
spaventi,fright / fear / scare / terror
fedeltà,accuracy / exactness
priva,without / lacking / -less / un- / -free
colpirmi,to affect / to hit / strike
baita,refuge
passerò,to pass / to stop by / to pass something
dadi,A stock cube / A die or dice / nut
prestiti,soon / quickly
controllati,to audit / to check / verify / inspect / examine / to control / dominate
barbone,poodle / vagrant
andassimo,to go
fratture,fracture / break / fracture / split
debbano,to have to / must
giustificare,to account for / to justify
fighi,great / cool (pl.)
aggeggio,gadget / contraption
differenze,difference
paracadute,parachute
abbandona,to abandon / walk out on
sopracciglia,eyebrow
tenetelo,to have / to hold / keep / to take
dimentichiamo,to forget
ade,Hades / Hades
sicario,hitman
ballerino,dancer
piume,feather / plume / [in the plural] down / plumage
obbedire,to obey
mance,tip [in a restaurant / etc.]
richiedono,to ask again / to ask for / demand / apply for / to request / exact / demand
gatta,cat
catastrofe,catastrophe / disaster
biondo,blonde / fair-haired man / fair
include,to enclose / to include
umiliato,to humiliate / to mortify
lavatrice,washer / washing machine
clinton,A red wine from the Veneto
satellitare,satellite
commerciali,to trade / deal
rintracciarlo,To trace / to track down / to run down / to find / to contact
ondata,A wave / A wave / a surge / a snap / a tide
affronta,to brave or tackle something / to cope with something
governare,to feed / to groom / to look after
tombe,tomb
arena,Beach or lido / Bullring and similar sporting spaces / Sand
autorizzata,To give permission; to authorize
salvando,to save / guard / safeguard / protect / defend
concerti,agreement / concert / concerto / concert / recital
culetto,The rounded end of a salami
prof,teacher
talenti,talent / talented person
reattore,jet engine / reactor
immediata,immediate / prompt / direct
saliva,saliva / spittle / spit
nani,dwarfish / dwarf / midget / shorty
conoscesse,to know [a person or place] / experience / to recognise
riferire,to attribute / ascribe / to report / tell / relate
sergio,male given name derived from Latin Sergius
prendano,to take
informati,to inform / tell / report / notify
tasto,fret / fingerboard / key / button / touch / feel
assicurero,to assure / guarantee / to ensure / provide / to insure / assure
guardatelo,look / he looks
limitata,limited / scarce
intruso,intruder / outsider
goccio,drop / spot / dash
salmone,salmon
sorgente,source / spring
importasse,to be important / to matter / to import / heed
lattina,can / tin / small can
costiera,coast / coast road
dignita,dignity
psicologico,psychological
scopriro,to discover / find out / to sight; to spot / to uncover
sfogo,market / outburst / outlet
esausto,exhausted / worn out / tired / stuffed
interamente,entirely / wholly / completely
fiumi,river
sperato,to hope
pensateci,you (pl.) think
drogati,drug / spice
proteine,protein
viscido,slimy / smarmy
bugiardi,lying / false / deceitful / untruthful / liar
genetico,genetic
tela,canvas / cloth / curtain
bevande,beverage / drink
colloqui,talk / conversation / interview / meeting / talks / negotiations
destinata,to intend or mean
dialogo,conversation / dialogue
frego,line / mark
telefonici,telephones
suocera,mother-in-law / law's
esistesse,to exist / be
cadde,to die / to drop / crash / to fall
raccogliendo,to bring together / assemble / to pick / pluck / harvest / reap
minestra,soup / broth
compilare,fill
blocchi,bloc / coalition / blockade / block
bussato,To knock
daresti,to give
minacciata,to threaten / to menace
commovente,touching / moving / affecting
rapitori,kidnapper
'e,and (elided)
preliminari,preliminary / preliminaries; foreplay
suvvia,come on!
pianti,cried / weeping
zampa,a animal's leg / a paw
profonde,deep / profound / deep / deeply / profoundly / depths
tribu,tribe
testi,heads
vivace,keen / hardheaded / lively / vital / bright / vivid
aumentato,to increase / rise / to go up / to put on
guinzaglio,lead / leash / rein / tether
tendenza,leaning / camp / party
crollato,to collapse / cave in or slump
dure,hard (m.)
orizzonte,horizon
completi,complete / absolute / total / complete / entire / full / whole / 2-piece set
yard,yard
sottosopra,upsidedown / topsy-turvy
adottare,to adopt / to choose or select
virtù,power / virtue
fibre,fiber / fibre
cascata,cascade / waterfall
acquistare,got / bought
conoscerci,to know [a person or place] / experience / to recognise
meravigliose,marvellous / wonderful / splendid / glorious
accettiamo,to accept / to admit
locanda,An inn / A simple hotel
polsi,cuff / pulse / wrist
spegnete,to put out / to turn off
illegalmente,illegally / unlawfully
recluta,a recruit / rookie
freezer,freezer
fesso,idiotic / ruptured / cracked / silly
cognata,sister-in-law
venderla,to sell
ricordami,to commemorate / to mention / record / to remember / recall / recollect
minorenne,under age / minor
scavato,to bore / to dig / to excavate
finiranno,to finish / to end / to finish
ritirarsi,to adjourn / retire / reflexive form of ritirare
tronco,broken / incomplete / cut off / mutilated / truncated
acceleratore,accelerating / accelerator
elettricita,electricity
mentalmente,mentally
ballato,to dance / to fidget / to totter / wobble / shake
spettro,spectre / ghost / spectrum
checca,fairy / poof / faggot
miniere,mine
rubi,to steal
potevate,to be able / can
alimentari,foodstuffs / food / grocery / grocery store / grocer's
stallone,stallion
sub,skin-diver / scuba diver
sentirci,to have good hearing
pregando,to pray / to beg / to pray to something
chiarito,to clarify or explain
scenata,row / scene
vaniglia,vanilla
sospesa,suspended (f.)
corriamo,to hurry / rush / to run / to run [a race or a risk]
bevanda,drink / beverage / drank
mannaro,See lupo mannaro
incisione,cut / engraving / incision
volontariamente,voluntarily
infiltrato,infiltrator
radice,A cause / source / A root / A stem
circondata,to lavish / to surround / encircle / enclose
lode,praise
professori,player
alias,alias / alias
pantaloncini,shorts
sederci,bottom / butt / seat / buttocks / bum / to sit down / take a seat
decimo,tenth / tenth / tenth
bisturi,scalpel / bistoury / lancet
concorrenti,competing / concurrent / competitor
dott.ssa,Dr
sovrintendente,superintendent / supervisor
salario,pay / wages / salary
piango,I cry
matrimoniale,double / master / matrimonial / marriage / nuptial / married
diffondere,to give out or diffuse / to spread
organizzata,organized / package
terminare,finish / round / finished
scansione,scansion
vincendo,to win / to vanquish
rilassarsi,to relax / let's
spaventando,to frighten / scare / spook
duchessa,duchess
serra,greenhouse / glasshouse
dispositivi,dispositive / appliance / device / equipment / purview
lontane,far
morirete,to die
posticino,A post having little responsibility; a sinecure
telefonico,telephone / phone
snob,snobbish / snob
reclamo,A complaint / a claim / stink
atomica,feminine form of atomico
lasciarsi,[of a couple] to separate / split up / reflexive form of lasciare
sfuggita,A brief / rapid visit
lavoreremo,To run or operate / To work / To cultivate
napoleone,nap / Napoleon / snifter
dopodiche,after which / whereupon
guidatore,driver
condannati,condemnation / sentence
figure,character / figure / illustration
soia,silk / soya
sedili,branch / seat / see
pento,I repent
schiacciato,flat
gemello,twin
storiella,anecdote / joke
esito,result / outcome / issue / upshot
genero,son-in-law
tirarla,to pull / draw / kick / bend / die / to throw / shoot / drag / toss / roll
diga,dam / dyke / breakwater
ascoltarti,to listen
specchi,mirror / table / chart
lasciò,to leave / let
venduti,corrupt
forchetta,fork
palloncini,balloon
sorvegliare,to supervise or oversee / to watch / keep watch on or watch over
manderanno,to drive / to send / forward / dispatch / transmit
artistico,artistic
parlassi,to speak / talk
strato,stratum / layer / layer / coat / coating / sheet / film / stratus / layer
sistemiamo,to accommodate / lodge / put up / fix up
aiuteranno,to help / assist
chiedessi,to ask / to request
pargolo,young / child
sanguina,to bleed
spiare,to gauge / try to judge / to spy on / peep / peek / observe
penitenziario,penal / penitentiary [US] / prison
tossici,cough
previsioni,expectation / foresight / prediction / forecast
esplosioni,explosion / blast / burst / blow-up / outburst / outbreak
rimpianti,sadly missed / regret
combattente,fighting / combatant / fighter / combatant
scorrere,to pass / to fly / to roll by
riservate,to book / reserve / to intend / reserve / to reserve / keep / set aside
bilancio,assessment / result / outcome / balance / balance sheet / budget / toll
aggiunta,addition / inclusion / extension
freghi,to cheat / to pinch / nick or knock off / to polish
risolveremo,to resolve / to solve
perderò,to lose
pneumatici,inflatable / pneumatic / tyre [British] / tire [US]
diabete,diabetes
gigantesco,gigantic / giant / huge / colossal
universale,universal
liberate,to clear / vacate / free
